"№","Наименование поля","Описание","Формат значения поля"
1,"ROWNUM",,"xsd:string"
2,"Name",,"xsd:string"
3,"PortionName",,"xsd:string"
4,"Type",,"xsd:string"
5,"Width",,"xsd:string"
6,"BeginCoords",,"xsd:string"
7,"EndCoords",,"xsd:string"
8,"Location",,"xsd:string"
9,"DepartamentalAffiliation",,"xsd:string"
10,"OperOrgName",,"xsd:string"
11,"ObjectOperOrgPhone",,"xsd:string"
12,"Track",,"xsd:string"
13,"GLOBALID",,"xsd:string"
