"ROWNUM","Name","StationCapacity","BikeParkingSlotsAmount","Longitude_WGS84","Latitude_WGS84","AdmArea","District","Location","ClarificationOfLocation","DepartamentalAffiliation","OperOrgName","OperOrgWebsite","GLOBALID"
"48","Пункт проката велосипедов № 73","16","16","37.5551","55.7062","Юго-Западный административный округ","Гагаринский район","улица Косыгина, дом 18, строение 2","На пересечении с проспектом Вернадского","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772062"
"49","Пункт проката велосипедов № 74","16","16","37.5452","55.7004","Западный административный округ","район Раменки","проспект Вернадского, дом 4, корпус 1, строение 2","Остановка наземного городского общественного транспорта «Университетский проспект», из центра","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772063"
"50","Пункт проката велосипедов № 82","16","16","37.5412","55.7088","Западный административный округ","район Раменки","улица Косыгина, дом 30","Университетская площадь (Смотровая площадка)","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772064"
"51","Пункт проката велосипедов № 83","16","16","37.5355","55.7149","Западный административный округ","район Раменки","улица Косыгина, дом 29","На пересечении с Мичуринским проспектом","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772065"
"52","Пункт проката велосипедов № 84","16","16","37.639","55.7531","Центральный административный округ","Таганский район","улица Солянка, дом 8",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772066"
"53","Пункт проката велосипедов № 85","16","16","37.6286","55.742","Центральный административный округ","район Замоскворечье","Пятницкая улица, дом 21, строение 3","Выход станции метро «Новокузнецкая»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772067"
"54","Пункт проката велосипедов № 86","16","16","37.6252","55.7407","Центральный административный округ","район Замоскворечье","Климентовский переулок, дом 23, строение 1","Выход станции метро «Третьяковская»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772068"
"55","Пункт проката велосипедов № 87","16","16","37.6218","55.7406","Центральный административный округ","район Якиманка","Лаврушинский переулок, дом 17, строение 2",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772069"
"56","Пункт проката велосипедов № 88","16","16","37.6199","55.7433","Центральный административный округ","район Якиманка","Лаврушинский переулок, дом 4, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772070"
"57","Пункт проката велосипедов № 89","8","8","37.6179","55.7448","Центральный административный округ","район Якиманка","Болотная площадь, дом 16/5, строение 5","Рядом Лужков мост","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772071"
"58","Пункт проката велосипедов № 91","16","16","37.6108","55.7452","Центральный административный округ","район Якиманка","Берсеневская набережная, дом 2, корпус 10",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772072"
"59","Пункт проката велосипедов № 92","16","16","37.6098","55.7429","Центральный административный округ","район Якиманка","Берсеневская набережная, дом 16, строение 9",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772073"
"60","Пункт проката велосипедов № 93","8","8","37.6056","55.7464","Центральный административный округ","район Хамовники","улица Волхонка, дом 14, строение 6",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772074"
"61","Пункт проката велосипедов № 94","16","16","37.5933","55.7352","Центральный административный округ","район Хамовники","Зубовский бульвар, дом 5, строение 3","Выход станции метро «Парк Культуры»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772075"
"62","Пункт проката велосипедов № 96","16","16","37.5814","55.7365","Центральный административный округ","район Хамовники","Большая Пироговская улица, дом 6/25",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772076"
"63","Пункт проката велосипедов № 97","16","16","37.5755","55.7339","Центральный административный округ","район Хамовники","Большая Пироговская улица, дом 15/18, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772077"
"64","Пункт проката велосипедов № 98","16","16","37.577","55.7307","Центральный административный округ","район Хамовники","Усачёва улица, дом 2, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772078"
"65","Пункт проката велосипедов № 99","16","16","37.5808","55.7265","Центральный административный округ","район Хамовники","Комсомольский проспект, дом 28","Выход станции метро «Фрунзенская»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772079"
"66","Пункт проката велосипедов № 100","16","16","37.5693","55.7311","Центральный административный округ","район Хамовники","Большая Пироговская улица, дом 2, строение 4","МГМУ имени Семашко","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772080"
"67","Пункт проката велосипедов № 101","16","16","37.5652","55.7238","Центральный административный округ","район Хамовники","улица 10-летия Октября, дом 29, корпус 3","Выход станции метро «Спортивная»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772081"
"68","Пункт проката велосипедов № 102","16","16","37.5599","55.7271","Центральный административный округ","район Хамовники","Лужнецкий проезд, дом 1А","Площадь Новодевичьего монастыря","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772082"
"69","Пункт проката велосипедов № 103","16","16","37.5708","55.7191","Центральный административный округ","район Хамовники","Комсомольский проспект, дом 48/22",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772083"
"70","Пункт проката велосипедов № 109","16","16","37.6151","55.7385","Центральный административный округ","район Якиманка","улица Большая Якиманка, дом 18",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772084"
"71","Пункт проката велосипедов № 110","16","16","37.6135","55.736","Центральный административный округ","район Якиманка","улица Большая Якиманка, дом 26",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772085"
"72","Пункт проката велосипедов № 136","8","8","37.5919","55.7649","Центральный административный округ","Пресненский район","Ермолаевский переулок, дом 31/13, строение 4","Рядом памятник Крылову И.А.","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772086"
"73","Пункт проката велосипедов № 137","8","8","37.5936","55.7636","Центральный административный округ","Пресненский район","Большой Патриарший переулок, дом 7, корпус 4","На пересечении с Малой Бронной улицей","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772087"
"74","Пункт проката велосипедов № 139","16","16","37.6417","55.7588","Центральный административный округ","Басманный район","улица Покровка, дом 7/9/11, корпус 1","На пересечении с Потаповским переулком","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772088"
"75","Пункт проката велосипедов № 143","8","8","37.6142","55.7732","Центральный административный округ","Тверской район","Садовая-Самотёчная улица, дом 8",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772089"
"76","Пункт проката велосипедов № 144","16","16","37.6328","55.7722","Центральный административный округ","Красносельский район","улица Сретенка, дом 12, корпус 1","На площади у выхода станции метро «Сухаревская»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772090"
"77","Пункт проката велосипедов № 145","8","8","37.6323","55.7692","Центральный административный округ","Красносельский район","улица Сретенка, дом 20",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772091"
"78","Пункт проката велосипедов № 146","16","16","37.6432","55.7702","Центральный административный округ","Красносельский район","Садовая-Спасская улица, дом 26",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772092"
