"ROWNUM","Name","PortionName","Type","Width","BeginCoords","EndCoords","Location","DepartamentalAffiliation","OperOrgName","ObjectOperOrgPhone","Track","GLOBALID"
"40","Велосипедная дорожка в сквере на улице Каховка между домами 9 и 13","Участок «Западная часть сквера и участок вокруг пруда»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.584122,55.651962","37.586708,55.647076","Сквер на улице Каховка между дом 9 и 13","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГБУ «ДЗ ЖКХиБ ЮЗАО»","(495) 122-01-01","37.584122,55.651962; 37.584412,55.651146; 37.584412,55.651005; 37.585140,55.649288; 37.585323,55.648823; 37.585323,55.648506; 37.585602,55.647869; 37.585739,55.647060; 37.586708,55.647083; 37.586880,55.646961; 37.587063,55.646805; 37.588585,55.646725; 37.588692,55.646816; 37.588531,55.647545; 37.588360,55.647984; 37.588230,55.648041; 37.587692,55.647984; 37.586815,55.647137; 37.586727,55.647076; 37.586708,55.647083; 37.586708,55.647076; 37.586708,55.647076; 37.586708,55.647076; 37.586708,55.647076; 37.586708,55.647076","89098849"
"41","Велосипедная дорожка в сквере на улице Каховка между домами 9 и 13","Участок «Восточная часть сквера»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.588242,55.648075","37.584122,55.651962","Сквер на улице Каховка между дом 9 и 13","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГБУ «ДЗ ЖКХиБ ЮЗАО»","(495) 122-01-01","37.588242,55.648075; 37.587875,55.648308; 37.587242,55.648495; 37.586815,55.648735; 37.585987,55.649406; 37.585796,55.649887; 37.585690,55.650249; 37.585808,55.650517; 37.586193,55.650696; 37.586502,55.650806; 37.586739,55.650974; 37.586632,55.651283; 37.586514,55.651459; 37.586384,55.651520; 37.586075,55.651562; 37.585056,55.651733; 37.584679,55.651794; 37.584251,55.651932; 37.584122,55.651962","89098850"
"42","Велосипедная дорожка в Парке «Качалово»",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.578285,55.571758","37.578285,55.571758","Парк «Качалово»","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГБУ «ДЗ ЖКХиБ ЮЗАО»","(495) 122-01-01","37.578285,55.571758; 37.579510,55.573360; 37.581524,55.572922; 37.582222,55.572880; 37.582726,55.572819; 37.583584,55.572872; 37.584358,55.573078; 37.585205,55.573208; 37.585739,55.573189; 37.586235,55.573128; 37.586430,55.573097; 37.586609,55.573082; 37.586815,55.573063; 37.587940,55.572826; 37.589474,55.572498; 37.590870,55.572132; 37.590954,55.572075; 37.590977,55.571926; 37.590847,55.571892; 37.590473,55.571800; 37.590199,55.571766; 37.590286,55.571728; 37.590603,55.571671; 37.591068,55.571545; 37.591293,55.571434; 37.591507,55.571320; 37.592148,55.571270; 37.592613,55.571148; 37.592770,55.570915; 37.592731,55.570614; 37.592564,55.570396; 37.592400,55.570221; 37.592125,55.570137; 37.591877,55.570107; 37.591251,55.570419; 37.591053,55.570621; 37.590576,55.570805; 37.589825,55.571049; 37.589130,55.571201; 37.586761,55.571587; 37.586365,55.571735; 37.586033,55.572708; 37.585571,55.572510; 37.584476,55.572243; 37.583736,55.571987; 37.583401,55.571926; 37.582920,55.571972; 37.582287,55.571957; 37.581684,55.572025; 37.581215,55.571987; 37.580433,55.571922; 37.580013,55.571896; 37.579605,55.571880; 37.579262,55.571690; 37.578949,55.571182; 37.578167,55.571339; 37.578262,55.571747; 37.578285,55.571758","89098851"
"43","Велосипедная дорожка на Дмитровском шоссе",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.543159,55.925198","37.544125,55.926842","Дмитровское шоссе, дом 165Е, корпус 6","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ИС района Северный»","(495) 411-67-27","37.543159,55.925198; 37.544125,55.926842","89098852"
"44","Велосипедная дорожка в Парковой зоне долины реки Яузы от Широкой улицы до Метромоста",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.656475,55.876671","37.654804,55.876766","Пойма реки Яузы от Широкой улицы до Метромоста","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ДЗ ЖКХиБ СВАО»","(499) 750-05-00","37.656475,55.876671; 37.656647,55.877430; 37.656647,55.877838; 37.656433,55.878922; 37.656456,55.879105; 37.657036,55.880138; 37.657616,55.880547; 37.657894,55.881836; 37.656990,55.880966; 37.656906,55.880535; 37.656391,55.879887; 37.656155,55.879715; 37.656219,55.879257; 37.655746,55.878792; 37.655361,55.878262; 37.654804,55.876766","89098853"
"45","Велосипедная дорожка в Парковой зоне долины реки Яузы вдоль Северодвинской улицы",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.682148,55.891655","37.682148,55.891655","Пойма реки Яузы вдоль Северодвинской улицы","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ДЗ ЖКХиБ СВАО»","(499) 750-05-00","37.682148,55.891655; 37.681839,55.891563; 37.681602,55.891403; 37.681389,55.891029; 37.680691,55.890312; 37.680531,55.890095; 37.680229,55.888172; 37.680099,55.887890; 37.679981,55.887703; 37.680122,55.887550; 37.680313,55.887505; 37.680443,55.887508; 37.680668,55.887550; 37.680840,55.887707; 37.680702,55.887966; 37.680592,55.888165; 37.680756,55.889030; 37.681023,55.889706; 37.681892,55.889977; 37.682171,55.890072; 37.682373,55.890205; 37.682709,55.890728; 37.682846,55.890934; 37.683060,55.891144; 37.683006,55.891415; 37.682964,55.891541; 37.682419,55.891663; 37.682182,55.891663; 37.682148,55.891655","89098854"
"46","Велосипедная дорожка в Парковой зоне от проезда Дежнёва до Широкой улицы","Участок «Олонецкий проезд - пойма реки Яуза»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.662292,55.881866","37.664478,55.879642","Парковая зона от проезда Дежнёва до Широкой улицы","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ДЗ ЖКХиБ СВАО»","(499) 750-05-00","37.662292,55.881866; 37.662601,55.881611; 37.663052,55.881191; 37.663559,55.880585; 37.664276,55.879742; 37.664478,55.879642","89098855"
"47","Велосипедная дорожка в Парковой зоне от проезда Дежнёва до Широкой улицы","Участок «Парк по Олонецкому проезду»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.659233,55.873119","37.659267,55.874725","Парковая зона от проезда Дежнёва до Широкой улицы","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ДЗ ЖКХиБ СВАО»","(499) 750-05-00","37.659233,55.873119; 37.659103,55.873241; 37.659019,55.873638; 37.659210,55.874004; 37.659267,55.874241; 37.659267,55.874725; 37.659683,55.875553; 37.659794,55.876087; 37.660511,55.877190; 37.660641,55.877514; 37.660706,55.877823; 37.661026,55.878391; 37.662109,55.878372; 37.662346,55.878284; 37.662453,55.878597; 37.662594,55.878723; 37.663269,55.879147; 37.663857,55.879307; 37.663795,55.879482; 37.663677,55.879650; 37.663494,55.879837; 37.663216,55.880138; 37.662796,55.880486; 37.662323,55.881149; 37.662186,55.881298; 37.662109,55.881340; 37.661938,55.881348; 37.661755,55.881317; 37.661678,55.881245; 37.661724,55.881077; 37.661766,55.880924; 37.661499,55.880745; 37.661144,55.880901; 37.660755,55.881046; 37.660435,55.881126; 37.660252,55.881138; 37.659103,55.880787; 37.658665,55.880596; 37.658363,55.880398; 37.657925,55.880089; 37.657677,55.879715; 37.657486,55.879246; 37.657516,55.876659; 37.657581,55.876316; 37.657593,55.876064; 37.657665,55.875568; 37.657742,55.875263; 37.657722,55.875065; 37.658012,55.874943; 37.658794,55.874783; 37.659233,55.874741; 37.659267,55.874725","89098856"
"48","Велосипедная дорожка «Пешеходная зона по Кременчугской улице»",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.462215,55.720123","37.461018,55.725426","Пешеходная зона по Кременчугской улице","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «Дирекция ЖКХиБ ЗАО»","(499) 792-65-06","37.462215,55.720123; 37.461018,55.725426","89098857"
"49","Велосипедная дорожка вдоль набережной реки Москва от Парка «Фили» до Крылатского района",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.475502,55.742054","37.475502,55.742054","Набережная реки Москвы от Парка «Фили» до Крылатского района","Департамент культуры города Москвы","ГАУК города Москвы «ПКиО Фили»","(499) 145-45-05","37.475502,55.742054; 37.480824,55.743504; 37.485352,55.74488099999999; 37.487175,55.746731; 37.487541,55.746765; 37.488098,55.747032; 37.490479,55.74925200000001; 37.491661,55.750412; 37.491596,55.750908; 37.490993,55.751404; 37.491467,55.75267; 37.479794,55.75243; 37.479816,55.751621; 37.4799,55.751305; 37.480396,55.751064; 37.480415,55.750668; 37.47958,55.75002700000001; 37.478806,55.749519; 37.477928,55.748772; 37.477543,55.74819200000001; 37.477604,55.74721100000001; 37.4772,55.74688700000001; 37.476318,55.746319; 37.475544,55.74548300000001; 37.475353,55.744518; 37.475117,55.743515; 37.475502,55.742054","89098858"
